length,no_policy,seq,parallel,unseq,par_unseq,best_K,best_time,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32
1000000,3e-06,1.1e-06,2.16e-05,8e-07,2.68e-05,1,0.0018359,0.0018359,0.0019128,0.0023834,0.0027208,0.0032658,0.0036718,0.0041394,0.004566,0.0052534,0.0056339,0.0064429,0.0068548,0.0074776,0.0079237,0.0087455,0.0093217,0.0099679,0.0106819,0.0111521,0.0115736,0.012091,0.012224,0.0126551,0.0130282,0.0138792,0.0143685,0.0148948,0.0155368,0.0159983,0.016806,0.0172353,0.0179561
1000,5.3e-06,1.1e-06,6.62e-05,8e-07,2.02e-05,2,0.0017914,0.0020729,0.0017914,0.002363,0.0029573,0.0033753,0.0039397,0.0044582,0.0050728,0.0056172,0.006292,0.0069567,0.0073916,0.0080142,0.0084218,0.0092061,0.010003,0.0102239,0.0108549,0.0113902,0.0117356,0.012071,0.0127546,0.0134153,0.0140498,0.0142923,0.0149027,0.0150449,0.015908,0.0164773,0.0170676,0.0173031,0.0182314
10000,7e-07,5e-07,1.77e-05,4e-07,1.75e-05,1,0.0010852,0.0010852,0.0017522,0.0023412,0.0031001,0.0034989,0.0040579,0.0045318,0.0050384,0.0056479,0.0059655,0.0065747,0.006932,0.0076824,0.0082177,0.0091036,0.0095027,0.010041,0.0104813,0.0108031,0.0117049,0.0121791,0.0126282,0.0129973,0.013493,0.0143774,0.0146565,0.0151896,0.0158039,0.0165836,0.0169966,0.0176206,0.0179375
100000,7e-07,5e-07,2.05e-05,4e-07,3.23e-05,1,0.0011685,0.0011685,0.0018082,0.00237,0.0031618,0.0035523,0.0040665,0.0046992,0.004986,0.0053311,0.0060458,0.0064806,0.0071137,0.0074687,0.0081204,0.008582,0.0096347,0.0104743,0.0106384,0.0113265,0.0117294,0.0119408,0.0126599,0.0128508,0.0135229,0.0140352,0.0147575,0.0153267,0.016071,0.0165277,0.017268,0.0183784,0.0186334
1000000,2.8e-06,6e-07,2.21e-05,4e-07,1.15e-05,1,0.0018802,0.0018802,0.0022877,0.0026506,0.0030605,0.0034914,0.0039478,0.0044574,0.0049667,0.0055039,0.005914,0.0066028,0.0072507,0.0079458,0.0083502,0.0089449,0.0095454,0.0104714,0.011356,0.0120503,0.0127162,0.013056,0.0133357,0.0142883,0.0157785,0.0173399,0.0185005,0.0181208,0.0177169,0.0177089,0.0173059,0.0191,0.0202293
1000,5.7e-06,5e-07,7.08e-05,5e-07,2.13e-05,2,0.0020828,0.0023343,0.0020828,0.0026568,0.0033079,0.0039706,0.0044361,0.0057769,0.006378,0.0073272,0.0082569,0.0094998,0.0097045,0.0092899,0.0097515,0.0103789,0.0103654,0.0115736,0.0120427,0.0125255,0.0128588,0.0132814,0.0135958,0.0141638,0.0148167,0.0158025,0.0172045,0.0194191,0.0206385,0.0207431,0.0210117,0.0210399,0.0207064
10000,2e-06,1.6e-06,2.12e-05,1.5e-06,2.52e-05,1,0.0013122,0.0013122,0.0019257,0.0027579,0.0034239,0.0044033,0.0048236,0.0055428,0.0060315,0.0063084,0.0066616,0.0069395,0.0072856,0.0079322,0.0081931,0.00867,0.0093847,0.0097182,0.0105656,0.0114822,0.0127942,0.0146024,0.0166746,0.0179769,0.0178509,0.0173912,0.0160315,0.0154049,0.0156644,0.0173871,0.017408,0.0183868,0.0188788
100000,6e-07,4e-07,1.94e-05,4e-07,3.81e-05,1,0.0011986,0.0011986,0.0017321,0.0024408,0.0029034,0.0036409,0.0040192,0.004631,0.0051705,0.0058789,0.0068316,0.0078952,0.0090534,0.0101496,0.0111734,0.0115037,0.0116306,0.0112991,0.0108995,0.0106477,0.0110435,0.0116403,0.0121979,0.0130561,0.0137997,0.0142664,0.0148598,0.0151929,0.0157318,0.0157089,0.0170164,0.0173453,0.0177519
1000000,2.3e-06,9e-07,2.27e-05,8e-07,1.06e-05,1,0.001913,0.001913,0.0019567,0.0024573,0.0027467,0.0032977,0.0037728,0.0043602,0.0048279,0.0052048,0.0057175,0.0063092,0.0068793,0.0077336,0.0081627,0.0091453,0.009931,0.0102222,0.0108087,0.0111453,0.0114754,0.0115664,0.012242,0.0126069,0.0131999,0.013832,0.0145759,0.0152524,0.0158244,0.0159049,0.0163067,0.0170466,0.0178276
1000,5.8e-06,1e-06,6.94e-05,8e-07,1.77e-05,2,0.0019154,0.0022534,0.0019154,0.0025218,0.0028643,0.0032837,0.0038993,0.0044462,0.0050287,0.0054228,0.0059879,0.0065963,0.0071383,0.0079751,0.0088079,0.0092711,0.0102472,0.0108258,0.0115317,0.0115911,0.0122686,0.0123611,0.0126876,0.0131385,0.013801,0.014399,0.0156794,0.016446,0.0163057,0.016686,0.0169074,0.0177116,0.0182191
10000,8e-07,4e-07,1.85e-05,4e-07,3.12e-05,1,0.0010708,0.0010708,0.0017369,0.0023996,0.0028497,0.003468,0.0040484,0.00459,0.005015,0.0056187,0.0063547,0.006541,0.007402,0.0077427,0.0083962,0.0088879,0.0098181,0.0098563,0.0104556,0.0112164,0.0117311,0.0118858,0.0127791,0.0131254,0.0142379,0.0145587,0.0151677,0.0154152,0.0160948,0.0164339,0.0169727,0.0175497,0.018206
100000,1.4e-06,9e-07,1.98e-05,9e-07,2.1e-05,1,0.0011363,0.0011363,0.0017132,0.0023157,0.0029573,0.0033983,0.0040984,0.0045891,0.0050417,0.0055397,0.0062385,0.0066303,0.0072456,0.0079314,0.0085151,0.0090666,0.0097742,0.0103049,0.010996,0.0114094,0.0121215,0.0121622,0.0125461,0.0130122,0.01355,0.0141053,0.0147763,0.0155049,0.0163155,0.0163843,0.0171114,0.0173759,0.0181586
1000000,3.8e-06,2.2e-06,2.36e-05,2.1e-06,1.22e-05,1,0.001841,0.001841,0.0020796,0.0024981,0.0029845,0.003392,0.0039423,0.0044063,0.0047863,0.0053281,0.0059765,0.0063332,0.0070157,0.0076916,0.0082797,0.0092635,0.0098939,0.0102679,0.010639,0.0112534,0.0117133,0.0121004,0.0126834,0.0132551,0.0137813,0.0142108,0.0148412,0.0156709,0.016088,0.016674,0.0168382,0.0174381,0.0178168
1000,5.6e-06,1.3e-06,6.76e-05,1.3e-06,2.01e-05,1,0.0020124,0.0020124,0.0023395,0.0024138,0.0027019,0.0032903,0.0039529,0.0041134,0.00485,0.0055292,0.0059855,0.0063854,0.0071751,0.0077994,0.0085377,0.0090773,0.009798,0.0103501,0.0108966,0.0114247,0.0116983,0.0116959,0.0122457,0.0127444,0.0132054,0.0139844,0.0143902,0.0154156,0.0159306,0.0164942,0.016846,0.0175226,0.0179637
10000,7e-07,5e-07,1.74e-05,5e-07,1.32e-05,1,0.0010755,0.0010755,0.0017035,0.0022767,0.0026995,0.0031924,0.0037968,0.00431,0.0048904,0.0051588,0.0058493,0.0065791,0.0070562,0.0075872,0.0081556,0.008786,0.0094979,0.0100773,0.0106602,0.0107974,0.0114101,0.0119855,0.0121438,0.012779,0.0131469,0.0148452,0.0150119,0.0154179,0.0156672,0.016583,0.0166776,0.0172978,0.0181895
100000,1.3e-06,1e-06,1.88e-05,1e-06,2.75e-05,1,0.0011677,0.0011677,0.0018202,0.0023208,0.002853,0.0034127,0.00398,0.0045291,0.0049212,0.0055212,0.0059845,0.0063819,0.0069582,0.0076088,0.0082259,0.0085098,0.0093158,0.0098119,0.0102925,0.0110009,0.0117676,0.0119338,0.0128314,0.0133236,0.0136617,0.0139814,0.0144789,0.0149886,0.0154859,0.016449,0.0172992,0.0176723,0.0177028
1000000,1.6e-06,5e-07,2.4e-05,4e-07,1.02e-05,2,0.0022327,0.0023307,0.0022327,0.0024248,0.0027295,0.0031644,0.0037465,0.0040985,0.0046288,0.0052794,0.0056033,0.0062733,0.0066339,0.0072705,0.0081932,0.0086262,0.0095644,0.0100408,0.0106366,0.0112987,0.0119142,0.0123437,0.0129423,0.01422,0.0143541,0.0150302,0.0161442,0.0163848,0.0164951,0.016791,0.0171543,0.0176471,0.0183138
1000,5.4e-06,9e-07,6.89e-05,9e-07,1.71e-05,1,0.001809,0.001809,0.001966,0.0027913,0.0031246,0.0035794,0.0041676,0.0046615,0.0050638,0.0055253,0.0063714,0.0066938,0.0070992,0.0080143,0.0086407,0.009376,0.0100293,0.0104529,0.0110967,0.0115186,0.0119127,0.0121272,0.0125798,0.0132396,0.0138749,0.0142413,0.014843,0.015726,0.0162719,0.0166361,0.0169736,0.0174156,0.0182384
10000,4.2e-06,3.7e-06,2.13e-05,3.9e-06,3.41e-05,1,0.0010896,0.0010896,0.0017267,0.0023841,0.0029425,0.0034456,0.0039285,0.0045907,0.0050896,0.0055142,0.0059463,0.0064662,0.0069528,0.0077349,0.0085683,0.0089977,0.009526,0.0101667,0.0105583,0.0112013,0.0121862,0.0124086,0.0126338,0.0131516,0.0134429,0.0143614,0.0150941,0.0153547,0.0160814,0.0168308,0.0170284,0.0176007,0.0178329
100000,8e-07,4e-07,1.78e-05,4e-07,2.14e-05,1,0.0011398,0.0011398,0.0017253,0.0022513,0.0027753,0.0034755,0.0037576,0.0044645,0.0048395,0.0057058,0.0061459,0.0064974,0.0071544,0.0078661,0.0085905,0.008946,0.009599,0.010162,0.0104212,0.0109392,0.0117273,0.0124248,0.0128658,0.0131298,0.013994,0.014187,0.0147101,0.0149551,0.0155035,0.0162286,0.0168308,0.0175424,0.0182996
1000000,2.3e-06,4e-07,2.47e-05,4e-07,1.17e-05,1,0.0021644,0.0021644,0.0022866,0.0029488,0.0031808,0.0035601,0.0040494,0.0044815,0.0049096,0.0052688,0.0059285,0.0063125,0.0070017,0.0075309,0.0083239,0.0089151,0.0097693,0.0102411,0.0111146,0.0116793,0.0122369,0.0126124,0.0129258,0.0134292,0.0139298,0.0141933,0.0145527,0.0150128,0.0157459,0.0164402,0.0169597,0.017579,0.0181945
