length,no_policy,seq,parallel,unseq,par_unseq,best_K,best_time,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32
1000,0.0004564,0.0004472,0.0006354,0.0004091,0.0004943,2,0.0021638,0.0024579,0.0021638,0.0028443,0.0034153,0.003975,0.0042449,0.0047652,0.0051806,0.0054963,0.006173,0.0067247,0.0073294,0.0077773,0.0081636,0.0089687,0.0096725,0.0108922,0.0115226,0.0124376,0.0129424,0.0132652,0.0132305,0.0136643,0.0137197,0.0146671,0.0147853,0.0152397,0.0155877,0.0163512,0.0174204,0.0188533,0.0190366
10000,0.0039115,0.0037801,0.0015477,0.0037778,0.0014465,4,0.0036721,0.0063677,0.0046234,0.0039824,0.0036721,0.0037899,0.003979,0.0046514,0.0052347,0.0055388,0.0061299,0.0071604,0.0079761,0.0091399,0.0101523,0.0106776,0.0111341,0.0118607,0.0122268,0.0128556,0.0135133,0.0134772,0.0140804,0.0148641,0.0152291,0.0161244,0.0162462,0.0167532,0.0174917,0.0179885,0.0187318,0.019185,0.019909
100000,0.0333039,0.0306734,0.0048872,0.0317414,0.0047223,7,0.0101857,0.0397148,0.0244722,0.0197639,0.0155182,0.0129056,0.0112051,0.0101857,0.0105019,0.0127126,0.0142743,0.0138376,0.0135912,0.0136721,0.013672,0.0141851,0.0142133,0.0143969,0.0149885,0.0153952,0.0168298,0.0167263,0.0173075,0.0172871,0.0182753,0.0194117,0.019469,0.0199307,0.0202631,0.0210204,0.0214787,0.0222371,0.0231058
1000000,0.313937,0.314521,0.0369197,0.3158316,0.0378579,16,0.0688927,0.3636094,0.2007555,0.1522396,0.1268348,0.105881,0.0900931,0.0862289,0.0973436,0.0893543,0.0888322,0.0828664,0.0752614,0.0734105,0.0722896,0.0701476,0.0688927,0.0721119,0.0718786,0.0706056,0.0728641,0.0761555,0.0759908,0.075898,0.0757301,0.0731248,0.0749473,0.0727909,0.0732576,0.0739647,0.0729947,0.0737633,0.0716312
1000,0.0004621,0.0004588,0.0005921,0.0004606,0.0004846,2,0.0022673,0.0024593,0.0022673,0.0027469,0.0034846,0.0038251,0.0041854,0.0046782,0.0052518,0.005684,0.0060372,0.0067279,0.0071202,0.0079184,0.0084875,0.0092393,0.0094831,0.0104928,0.0114924,0.0114599,0.0121385,0.0127698,0.0130606,0.0137581,0.0139706,0.0146213,0.0152062,0.0164577,0.0166413,0.0168966,0.0175047,0.0179026,0.0182716
10000,0.0038511,0.0037419,0.0015397,0.0036498,0.0014259,4,0.0035292,0.0059387,0.0043031,0.0038,0.0035292,0.003902,0.0040078,0.0046782,0.005136,0.0056184,0.0064066,0.0072315,0.0083029,0.0095218,0.0101011,0.010966,0.0115333,0.0120028,0.0123965,0.0126073,0.0129683,0.0135328,0.0139663,0.0144493,0.0148265,0.0157655,0.0162976,0.0165901,0.0174778,0.0180687,0.0187483,0.0189321,0.0194991
100000,0.033345,0.032246,0.0050047,0.0330722,0.005155,7,0.0120803,0.0474074,0.0335929,0.0193408,0.0164246,0.0148787,0.0133423,0.0120803,0.0162961,0.0152527,0.0146868,0.0142373,0.0146147,0.0142833,0.0135601,0.0141121,0.0149227,0.0151113,0.0160178,0.0160142,0.0169356,0.0179592,0.0193334,0.0204011,0.0197772,0.0197085,0.0206293,0.0198563,0.0212646,0.0216168,0.0236554,0.0238178,0.0237622
1000000,0.3812621,0.3611979,0.043105,0.336264,0.0404725,15,0.0695236,0.3726072,0.1892092,0.1340556,0.1099354,0.0928994,0.0853274,0.0782361,0.0705507,0.0877387,0.0829787,0.0783142,0.0770808,0.0734421,0.0725539,0.0695236,0.0710025,0.0728724,0.0724441,0.0751344,0.075941,0.0755806,0.0770367,0.0772609,0.0753852,0.0800683,0.0794885,0.0750153,0.0744952,0.0749233,0.0754752,0.0747202,0.0746248
1000,0.0004563,0.0004445,0.0005042,0.0004661,0.0005487,2,0.0020005,0.0022838,0.0020005,0.0026168,0.0033296,0.0037814,0.0040445,0.004467,0.0047996,0.0053768,0.0058883,0.0063398,0.006694,0.0072142,0.0079816,0.0083098,0.0094863,0.0099552,0.0103098,0.0110774,0.0116581,0.0122132,0.0126826,0.0131149,0.0134311,0.0140545,0.0142201,0.0151956,0.0158784,0.0158503,0.0163925,0.016735,0.017192
10000,0.0037827,0.0037538,0.0014765,0.0036062,0.0013748,3,0.0034016,0.0061271,0.0041975,0.0034016,0.0034925,0.0038019,0.0038529,0.0042585,0.004822,0.0053029,0.0058422,0.0065129,0.0072768,0.008331,0.0092506,0.01005,0.0110606,0.0119558,0.0116623,0.0116447,0.0119088,0.0125185,0.012781,0.0131217,0.0135272,0.0143871,0.0146499,0.0152505,0.0157538,0.0172624,0.0170618,0.0177577,0.0184442
